year,value,name,gini_scaled
1913,NA,Income Inequality,NA
1914,NA,Income Inequality,NA
1915,NA,Income Inequality,NA
1916,NA,Income Inequality,NA
1917,NA,Income Inequality,NA
1918,NA,Income Inequality,NA
1919,NA,Income Inequality,NA
1920,NA,Income Inequality,NA
1921,NA,Income Inequality,NA
1922,NA,Income Inequality,NA
1923,NA,Income Inequality,NA
1924,NA,Income Inequality,NA
1925,NA,Income Inequality,NA
1926,NA,Income Inequality,NA
1927,NA,Income Inequality,NA
1928,NA,Income Inequality,NA
1929,NA,Income Inequality,NA
1930,NA,Income Inequality,NA
1931,NA,Income Inequality,NA
1932,NA,Income Inequality,NA
1933,NA,Income Inequality,NA
1934,NA,Income Inequality,NA
1935,NA,Income Inequality,NA
1936,NA,Income Inequality,NA
1937,NA,Income Inequality,NA
1938,NA,Income Inequality,NA
1939,NA,Income Inequality,NA
1940,NA,Income Inequality,NA
1941,NA,Income Inequality,NA
1942,NA,Income Inequality,NA
1943,NA,Income Inequality,NA
1944,NA,Income Inequality,NA
1945,NA,Income Inequality,NA
1946,NA,Income Inequality,NA
1947,0.376,Income Inequality,0.5982456140350878
1948,0.371,Income Inequality,0.5807017543859649
1949,0.378,Income Inequality,0.605263157894737
1950,0.379,Income Inequality,0.6087719298245615
1951,0.363,Income Inequality,0.5526315789473685
1952,0.368,Income Inequality,0.5701754385964912
1953,0.359,Income Inequality,0.5385964912280702
1954,0.371,Income Inequality,0.5807017543859649
1955,0.363,Income Inequality,0.5526315789473685
1956,0.358,Income Inequality,0.5350877192982456
1957,0.351,Income Inequality,0.5105263157894737
1958,0.354,Income Inequality,0.5210526315789474
1959,0.361,Income Inequality,0.5456140350877193
1960,0.364,Income Inequality,0.556140350877193
1961,0.374,Income Inequality,0.5912280701754387
1962,0.362,Income Inequality,0.5491228070175439
1963,0.362,Income Inequality,0.5491228070175439
1964,0.361,Income Inequality,0.5456140350877193
1965,0.356,Income Inequality,0.5280701754385965
1966,0.349,Income Inequality,0.5035087719298246
1967,0.358,Income Inequality,0.5350877192982456
1968,0.348,Income Inequality,0.5
1969,0.349,Income Inequality,0.5035087719298246
1970,0.353,Income Inequality,0.5175438596491229
1971,0.355,Income Inequality,0.5245614035087719
1972,0.359,Income Inequality,0.5385964912280702
1973,0.356,Income Inequality,0.5280701754385965
1974,0.355,Income Inequality,0.5245614035087719
1975,0.357,Income Inequality,0.531578947368421
1976,0.358,Income Inequality,0.5350877192982456
1977,0.363,Income Inequality,0.5526315789473685
1978,0.363,Income Inequality,0.5526315789473685
1979,0.365,Income Inequality,0.5596491228070176
1980,0.365,Income Inequality,0.5596491228070176
1981,0.369,Income Inequality,0.5736842105263158
1982,0.38,Income Inequality,0.6122807017543861
1983,0.382,Income Inequality,0.6192982456140351
1984,0.383,Income Inequality,0.6228070175438597
1985,0.389,Income Inequality,0.6438596491228071
1986,0.392,Income Inequality,0.6543859649122807
1987,0.393,Income Inequality,0.6578947368421053
1988,0.395,Income Inequality,0.6649122807017545
1989,0.401,Income Inequality,0.6859649122807019
1990,0.396,Income Inequality,0.668421052631579
1991,0.397,Income Inequality,0.6719298245614036
1992,0.404,Income Inequality,0.6964912280701756
1993,0.429,Income Inequality,0.7842105263157895
1994,0.426,Income Inequality,0.7736842105263158
1995,0.421,Income Inequality,0.7561403508771929
1996,0.425,Income Inequality,0.7701754385964912
1997,0.429,Income Inequality,0.7842105263157895
1998,0.43,Income Inequality,0.787719298245614
1999,0.429,Income Inequality,0.7842105263157895
2000,0.433,Income Inequality,0.7982456140350878
2001,0.435,Income Inequality,0.8052631578947369
2002,0.434,Income Inequality,0.8017543859649123
2003,0.436,Income Inequality,0.8087719298245614
2004,0.438,Income Inequality,0.8157894736842105
2005,0.44,Income Inequality,0.8228070175438597
2006,0.444,Income Inequality,0.8368421052631578
2007,0.432,Income Inequality,0.7947368421052632
2008,0.438,Income Inequality,0.8157894736842105
2009,0.443,Income Inequality,0.8333333333333333
2010,0.44,Income Inequality,0.8228070175438597
2011,0.45,Income Inequality,0.8578947368421053
2012,0.451,Income Inequality,0.8614035087719298
2013,0.455,Income Inequality,0.8754385964912281
2014,0.452,Income Inequality,0.8649122807017544
2015,0.448,Income Inequality,0.8508771929824561
2016,0.452,Income Inequality,0.8649122807017544
2017,0.458,Income Inequality,0.8859649122807018
2018,0.452,Income Inequality,0.8649122807017544
2019,0.454,Income Inequality,0.8719298245614036
2020,0.458,Income Inequality,0.8859649122807018
2021,0.462,Income Inequality,0.9
2022,0.458,Income Inequality,0.8859649122807018
2023,0.452,Income Inequality,0.8649122807017544
2024,0.456,Income Inequality,0.8789473684210527
